meal_id,date,meal_type,food_items,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,water_ml,notes
MEAL-053,2025-11-10,breakfast,Banana bread with butter,420,6,68,16,2,380,32,100,
MEAL-054,2025-11-10,morning_coffee,Large latte,240,10,28,10,0,160,22,0,9:30am coffee
MEAL-055,2025-11-10,lunch,Spaghetti bolognese with garlic bread,880,32,98,35,5,1420,12,250,Heavy pasta lunch
MEAL-056,2025-11-10,snack,Trail mix,240,6,28,14,3,65,14,0,
MEAL-057,2025-11-10,dinner,Grilled salmon with vegetables,520,40,22,28,6,480,4,400,
MEAL-058,2025-11-11,breakfast,Scone with clotted cream,480,6,62,24,1,420,22,100,High fat/carb breakfast
MEAL-059,2025-11-11,morning_coffee,Mocha with whipped cream,380,8,52,16,0,180,42,0,9am coffee
MEAL-060,2025-11-11,lunch,Chicken fried rice with egg rolls,850,25,102,35,4,1680,8,200,Heavy Asian lunch
MEAL-061,2025-11-11,afternoon_coffee,Americano,10,0,2,0,0,5,0,0,1:45pm - last caffeine
MEAL-062,2025-11-11,snack,Candy bar,280,4,38,14,1,85,32,0,Sugar crash remedy
MEAL-063,2025-11-11,dinner,Turkey with roasted vegetables,480,38,28,22,6,520,4,400,
MEAL-064,2025-11-12,breakfast,Cereal with milk (Frosted Flakes),380,6,78,4,1,280,38,200,Sugary cereal
MEAL-065,2025-11-12,morning_coffee,Vanilla cold brew,180,4,32,4,0,100,28,0,8:45am coffee
MEAL-066,2025-11-12,lunch,Mac and cheese with breadsticks,920,28,105,42,3,1580,8,200,Heavy comfort food
MEAL-067,2025-11-12,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-068,2025-11-12,snack,Chips,280,3,38,14,2,420,2,0,
MEAL-069,2025-11-12,dinner,Baked chicken with quinoa,450,38,35,14,5,520,4,400,
MEAL-070,2025-11-13,breakfast,Muffin top with coffee,380,4,68,12,1,340,35,200,Low protein pastry
MEAL-071,2025-11-13,morning_coffee,Large caramel latte,340,10,52,10,0,180,45,0,9am coffee
MEAL-072,2025-11-13,lunch,Burgers and onion rings,920,35,88,48,4,1720,12,200,Heavy fried lunch
MEAL-073,2025-11-13,afternoon_coffee,Decaf cappuccino,120,6,12,5,0,80,8,0,2pm - decaf only
MEAL-074,2025-11-13,snack,Granola bar,190,3,38,4,2,120,18,0,
MEAL-075,2025-11-13,dinner,Grilled fish tacos,480,32,42,22,6,680,6,350,
MEAL-076,2025-11-14,breakfast,Croissant sandwich (ham & cheese),480,18,42,26,1,920,4,150,Better protein but still carby
MEAL-077,2025-11-14,morning_coffee,Flat white,150,8,12,8,0,100,10,0,9:30am coffee
MEAL-078,2025-11-14,lunch,Chicken alfredo with caesar salad,920,38,82,48,4,1620,6,250,Heavy creamy lunch
MEAL-079,2025-11-14,afternoon_coffee,Small americano,10,0,2,0,0,5,0,0,1:30pm - last caffeine
MEAL-080,2025-11-14,snack,Apple with peanut butter,280,8,32,16,5,120,22,0,
MEAL-081,2025-11-14,dinner,Steak with salad,520,42,12,32,4,580,4,400,
MEAL-082,2025-11-15,breakfast,Pop tarts with juice,420,4,82,10,1,380,48,150,High sugar processed breakfast
MEAL-083,2025-11-15,morning_coffee,Iced vanilla latte,260,8,42,8,0,140,35,0,9am coffee
MEAL-084,2025-11-15,lunch,Fried chicken sandwich with fries,980,35,98,48,4,1850,8,200,Heavy fried lunch
MEAL-085,2025-11-15,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-086,2025-11-15,snack,Cookies and milk,320,8,48,12,1,280,28,200,
MEAL-087,2025-11-15,dinner,Salmon with steamed broccoli,420,38,18,22,6,420,4,350,
MEAL-088,2025-11-16,breakfast,Belgian waffle with syrup,520,8,92,14,2,480,48,150,Weekend high carb
MEAL-089,2025-11-16,morning_coffee,Mocha latte,340,10,48,12,0,160,38,0,10am coffee
MEAL-090,2025-11-16,lunch,BBQ ribs with coleslaw and cornbread,1050,42,78,58,4,1920,28,200,Heavy weekend BBQ
MEAL-091,2025-11-16,snack,Brownie,320,4,48,14,2,180,32,0,
MEAL-092,2025-11-16,dinner,Grilled vegetables with hummus,380,12,52,14,10,520,8,400,Light to compensate
MEAL-093,2025-11-17,breakfast,Donuts (2) with coffee,540,6,72,26,1,380,38,200,Sunday morning treat
MEAL-094,2025-11-17,morning_coffee,Large cold brew,80,2,4,0,0,60,2,0,9:30am coffee
MEAL-095,2025-11-17,lunch,Ramen with gyoza,850,28,102,32,4,2150,8,400,High sodium carb heavy
MEAL-096,2025-11-17,snack,Edamame,190,17,14,8,8,420,3,0,
MEAL-097,2025-11-17,dinner,Grilled chicken salad,380,35,18,18,6,480,4,350,Light Sunday dinner
MEAL-098,2025-11-18,breakfast,Toast with nutella,380,6,62,14,2,220,32,100,Sugary spread
MEAL-099,2025-11-18,morning_coffee,Cappuccino,140,8,14,6,0,100,10,0,8:45am coffee
MEAL-100,2025-11-18,lunch,Chicken parmesan with spaghetti,920,42,88,38,4,1480,10,250,Heavy Italian
MEAL-101,2025-11-18,afternoon_coffee,Decaf americano,10,0,2,0,0,5,0,0,2pm - decaf switch
MEAL-102,2025-11-18,snack,Orange,65,1,16,0,3,0,12,0,
MEAL-103,2025-11-18,dinner,Baked tilapia with rice,420,35,38,12,3,480,2,400,
MEAL-104,2025-11-19,breakfast,Banana nut muffin with OJ,440,6,78,12,2,340,42,150,High sugar breakfast
MEAL-105,2025-11-19,morning_coffee,Large hazelnut latte,300,10,46,10,0,160,38,0,9am coffee
MEAL-106,2025-11-19,lunch,Loaded nachos with ground beef,920,32,82,52,8,1850,6,200,Heavy Tex-Mex
MEAL-107,2025-11-19,afternoon_coffee,Small coffee,5,0,1,0,0,5,0,0,1:45pm - last caffeine
MEAL-108,2025-11-19,snack,Yogurt parfait,220,12,32,6,2,120,24,0,
MEAL-109,2025-11-19,dinner,Grilled shrimp skewers with vegetables,380,32,22,16,5,580,4,400,
MEAL-110,2025-11-20,breakfast,Cinnamon toast crunch cereal,380,4,78,6,1,320,35,200,Sugary cereal
MEAL-111,2025-11-20,morning_coffee,Caramel macchiato,320,8,48,12,0,180,42,0,9:15am coffee
MEAL-112,2025-11-20,lunch,Philly cheesesteak with fries,980,38,88,52,4,1720,6,200,Heavy lunch
MEAL-113,2025-11-20,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-114,2025-11-20,snack,Protein bar,220,20,24,8,4,180,8,0,
MEAL-115,2025-11-20,dinner,Turkey burger with sweet potato,520,35,48,22,6,680,12,400,
MEAL-116,2025-11-21,breakfast,English muffin with jam,320,6,58,6,2,380,22,100,Low protein
MEAL-117,2025-11-21,morning_coffee,Vanilla latte,260,8,42,8,0,140,35,0,9am coffee
MEAL-118,2025-11-21,lunch,Beef stroganoff with noodles,880,35,78,45,3,1420,8,250,Heavy Russian comfort food
MEAL-119,2025-11-21,afternoon_coffee,Decaf latte,140,6,16,5,0,85,12,0,2pm - decaf
MEAL-120,2025-11-21,snack,Mixed nuts,180,6,8,16,2,45,2,0,
MEAL-121,2025-11-21,dinner,Grilled salmon with asparagus,480,40,18,28,4,420,4,400,
MEAL-122,2025-11-22,breakfast,Chocolate chip pancakes,540,10,92,16,2,620,42,150,High sugar breakfast
MEAL-123,2025-11-22,morning_coffee,Large mocha,380,10,54,14,0,180,44,0,9:30am coffee
MEAL-124,2025-11-22,lunch,Chicken quesadilla with Mexican rice,880,38,92,38,6,1580,4,200,Heavy Mexican
MEAL-125,2025-11-22,afternoon_coffee,Small americano,10,0,2,0,0,5,0,0,1:30pm - last caffeine
MEAL-126,2025-11-22,snack,Cheese and crackers,220,8,18,14,1,380,2,0,
MEAL-127,2025-11-22,dinner,Baked chicken with quinoa,450,38,35,14,5,520,4,400,
MEAL-128,2025-11-23,breakfast,French pastries assortment,580,8,82,26,2,420,42,100,Weekend pastry indulgence
MEAL-129,2025-11-23,morning_coffee,Flat white,150,8,12,8,0,100,10,0,10am coffee
MEAL-130,2025-11-23,lunch,Prime rib with mashed potatoes and gravy,980,48,62,58,4,1280,8,250,Weekend feast
MEAL-131,2025-11-23,snack,Apple pie slice,350,3,52,16,2,280,32,0,
MEAL-132,2025-11-23,dinner,Light salad with grilled chicken,350,32,18,16,5,420,4,350,Compensating for big lunch
MEAL-133,2025-11-24,breakfast,Bagel with cream cheese and lox,520,22,58,22,2,980,6,150,Weekend brunch
MEAL-134,2025-11-24,morning_coffee,Large cold brew,80,2,4,0,0,60,2,0,9am coffee
MEAL-135,2025-11-24,lunch,Thanksgiving leftovers plate,920,42,82,42,6,1420,18,250,Turkey stuffing mashed potatoes
MEAL-136,2025-11-24,snack,Pumpkin pie,320,4,48,14,2,280,28,0,
MEAL-137,2025-11-24,dinner,Turkey sandwich,420,28,42,16,4,780,4,350,
MEAL-138,2025-11-25,breakfast,Oatmeal with brown sugar,320,6,62,4,4,180,28,200,Sugary oatmeal
MEAL-139,2025-11-25,morning_coffee,Caramel latte,300,10,46,10,0,160,38,0,9am coffee
MEAL-140,2025-11-25,lunch,Chicken tikka masala with naan and rice,920,35,98,38,4,1580,12,250,Heavy Indian lunch
MEAL-141,2025-11-25,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-142,2025-11-25,snack,Chips and salsa,280,3,42,12,3,580,4,0,
MEAL-143,2025-11-25,dinner,Grilled fish with vegetables,420,35,22,18,6,420,4,400,
MEAL-144,2025-11-26,breakfast,Pop tart and banana,380,4,82,6,3,280,48,0,Quick sugary breakfast
MEAL-145,2025-11-26,morning_coffee,Vanilla cold brew,180,4,32,4,0,100,28,0,8:30am coffee
MEAL-146,2025-11-26,lunch,Pulled pork sandwich with mac and cheese,980,38,92,48,4,1720,18,200,Heavy BBQ lunch
MEAL-147,2025-11-26,afternoon_coffee,Decaf americano,10,0,2,0,0,5,0,0,2pm - decaf only
MEAL-148,2025-11-26,snack,Granola bar,190,3,38,4,2,120,18,0,
MEAL-149,2025-11-26,dinner,Grilled chicken with roasted vegetables,450,38,28,18,6,520,4,400,
MEAL-150,2025-11-27,breakfast,Blueberry scone with butter,450,6,62,20,1,380,28,100,Pastry breakfast
MEAL-151,2025-11-27,morning_coffee,Large latte,240,10,28,10,0,160,22,0,9am coffee
MEAL-152,2025-11-27,lunch,Spaghetti and meatballs with garlic bread,920,38,92,42,5,1480,12,250,Heavy pasta
MEAL-153,2025-11-27,afternoon_coffee,Small coffee,5,0,1,0,0,5,0,0,1:45pm - last caffeine
MEAL-154,2025-11-27,snack,Cookie,180,2,28,8,1,140,16,0,
MEAL-155,2025-11-27,dinner,Baked salmon with quinoa,520,40,35,24,4,480,4,400,
MEAL-156,2025-11-28,breakfast,Thanksgiving leftover pie,380,4,52,18,2,280,32,0,Holiday leftovers
MEAL-157,2025-11-28,morning_coffee,Mocha,320,10,48,10,0,160,38,0,10am coffee
MEAL-158,2025-11-28,lunch,Turkey dinner plate with stuffing,850,42,82,35,5,1380,12,300,Thanksgiving meal
MEAL-159,2025-11-28,snack,Pecan pie,380,4,48,22,2,280,28,0,
MEAL-160,2025-11-28,dinner,Light turkey sandwich,380,28,38,14,3,620,4,350,Light holiday dinner
MEAL-161,2025-11-29,breakfast,Leftover pumpkin pie with whipped cream,420,5,58,20,2,240,38,0,Holiday indulgence
MEAL-162,2025-11-29,morning_coffee,Large cold brew,80,2,4,0,0,60,2,0,9am coffee
MEAL-163,2025-11-29,lunch,Black Friday mall food court - Chinese,880,28,105,35,3,1850,22,200,Heavy carb lunch
MEAL-164,2025-11-29,snack,Pretzel,280,6,58,2,2,920,2,0,
MEAL-165,2025-11-29,dinner,Grilled chicken salad,420,35,22,20,6,520,4,400,
MEAL-166,2025-11-30,breakfast,Bagel with cream cheese,420,10,62,16,2,580,6,150,Carb heavy breakfast
MEAL-167,2025-11-30,morning_coffee,Hazelnut latte,280,8,44,10,0,150,36,0,9:30am coffee
MEAL-168,2025-11-30,lunch,Loaded baked potato with chili,880,32,95,40,8,1420,8,250,Heavy comfort lunch
MEAL-169,2025-11-30,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-170,2025-11-30,snack,Brownie,280,3,42,12,2,160,28,0,
MEAL-171,2025-11-30,dinner,Grilled steak with vegetables,520,42,22,28,5,580,4,400,
MEAL-172,2025-12-01,breakfast,Cinnamon roll,420,6,68,16,1,380,35,100,High sugar pastry
MEAL-173,2025-12-01,morning_coffee,Large vanilla latte,300,10,46,10,0,160,38,0,9am coffee
MEAL-174,2025-12-01,lunch,Pad Thai with fried rice,920,25,118,35,4,1720,22,200,Heavy Thai lunch
MEAL-175,2025-12-01,afternoon_coffee,Decaf americano,10,0,2,0,0,5,0,0,2pm - decaf
MEAL-176,2025-12-01,snack,Chips,220,2,32,10,1,380,1,0,
MEAL-177,2025-12-01,dinner,Baked chicken with roasted vegetables,450,38,28,18,6,520,4,400,
MEAL-178,2025-12-02,breakfast,Frosted flakes with milk,340,6,72,4,1,280,35,200,Sugary cereal
MEAL-179,2025-12-02,morning_coffee,Caramel macchiato,320,8,48,12,0,180,42,0,9:15am coffee
MEAL-180,2025-12-02,lunch,Fish and chips,880,28,88,45,3,1380,4,200,Heavy fried lunch
MEAL-181,2025-12-02,afternoon_coffee,Small coffee,5,0,1,0,0,5,0,0,1:30pm - last caffeine
MEAL-182,2025-12-02,snack,Apple,95,0,25,0,4,2,19,0,
MEAL-183,2025-12-02,dinner,Grilled salmon with quinoa,480,40,35,22,5,480,4,400,
MEAL-184,2025-12-03,breakfast,Muffin with orange juice,420,5,78,12,2,340,45,150,Low protein high sugar
MEAL-185,2025-12-03,morning_coffee,Large latte,240,10,28,10,0,160,22,0,9am coffee
MEAL-186,2025-12-03,lunch,Burrito supreme with rice and beans,920,35,98,42,10,1780,6,250,Heavy Mexican
MEAL-187,2025-12-03,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-188,2025-12-03,snack,Protein bar,220,20,24,8,4,180,8,0,
MEAL-189,2025-12-03,dinner,Turkey stir-fry with vegetables,420,35,38,14,6,680,6,400,
MEAL-190,2025-12-04,breakfast,Toast with jam and butter,340,4,62,10,2,420,28,100,Low protein
MEAL-191,2025-12-04,morning_coffee,Mocha latte,350,10,48,14,0,160,38,0,9:30am coffee
MEAL-192,2025-12-04,lunch,Chicken alfredo with breadsticks,920,38,85,48,3,1580,8,250,Heavy Italian
MEAL-193,2025-12-04,afternoon_coffee,Decaf latte,140,6,16,5,0,85,12,0,2pm - decaf
MEAL-194,2025-12-04,snack,Banana,105,1,27,0,3,1,14,0,
MEAL-195,2025-12-04,dinner,Grilled shrimp with vegetables,380,32,22,16,5,520,4,400,
MEAL-196,2025-12-05,breakfast,Pancakes with syrup,480,8,88,10,2,620,42,150,High carb breakfast
MEAL-197,2025-12-05,morning_coffee,Vanilla cold brew,180,4,32,4,0,100,28,0,8:45am coffee
MEAL-198,2025-12-05,lunch,Pizza (3 slices) with breadsticks,980,32,118,42,4,2050,12,200,Heavy pizza lunch
MEAL-199,2025-12-05,afternoon_coffee,Small americano,10,0,2,0,0,5,0,0,1:45pm - last caffeine
MEAL-200,2025-12-05,snack,Trail mix,240,6,28,14,3,65,14,0,
MEAL-201,2025-12-05,dinner,Baked tilapia with rice,420,35,38,12,3,480,2,400,
MEAL-202,2025-12-06,breakfast,Chocolate croissant with coffee,420,6,52,22,1,320,24,200,Pastry breakfast
MEAL-203,2025-12-06,morning_coffee,Large hazelnut latte,300,10,46,10,0,160,38,0,9am coffee
MEAL-204,2025-12-06,lunch,Fried chicken with mashed potatoes,920,38,75,52,4,1620,4,200,Heavy Southern lunch
MEAL-205,2025-12-06,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-206,2025-12-06,snack,Cookies,240,2,38,10,1,180,22,0,
MEAL-207,2025-12-06,dinner,Grilled chicken with vegetables,420,38,22,16,6,520,4,400,
MEAL-208,2025-12-07,breakfast,Donut with juice,380,4,62,14,1,280,38,150,Weekend sugary start
MEAL-209,2025-12-07,morning_coffee,Caramel latte,300,10,46,10,0,160,38,0,9:30am coffee
MEAL-210,2025-12-07,lunch,Lasagna with garlic bread,880,35,88,42,4,1480,10,250,Heavy Italian
MEAL-211,2025-12-07,snack,Apple with peanut butter,280,8,32,16,5,120,22,0,
MEAL-212,2025-12-07,dinner,Grilled salmon with steamed vegetables,480,40,22,26,6,420,4,400,
